iter	RMSE
0	8363.843177
1	8092.47399
2	7851.825185
3	7645.674547
4	7432.277972
5	7222.504339
6	7023.506288
7	6820.221388
8	6632.841881
9	6424.869012
10	6231.172319
11	6062.977672
12	5878.729698
13	5705.254056
14	5543.370725
15	5391.036454
16	5245.691042
17	5113.682411
18	5005.296727
19	4876.19158
20	4754.917932
21	4637.62572
22	4550.295672
23	4461.080564
24	4367.240202
25	4285.405936
26	4187.021602
27	4097.787544
28	4039.500603
29	3977.980127
30	3917.784551
31	3855.842447
32	3784.43493
33	3723.237324
34	3676.304844
35	3623.536411
36	3579.437665
37	3537.034438
38	3494.738552
39	3459.523439
40	3427.371882
41	3385.986352
42	3342.297946
43	3308.960529
44	3272.628963
45	3237.72082
46	3218.062853
47	3180.708527
48	3152.384554
49	3129.257231
50	3107.101968
51	3078.426789
52	3055.583021
53	3036.56336
54	3010.564347
55	2995.87225
56	2975.533946
57	2951.929562
58	2939.901504
59	2925.362532
60	2909.950014
61	2893.964929
62	2875.394744
63	2858.600558
64	2847.062418
65	2837.787317
66	2825.727331
67	2809.090832
68	2797.560125
69	2787.542951
70	2767.413881
71	2747.373016
72	2731.720982
73	2714.387065
74	2698.836892
75	2690.165353
76	2676.629266
77	2670.734951
78	2659.756328
79	2650.260629
80	2635.136187
81	2622.37828
82	2615.998646
83	2604.91437
84	2589.317869
85	2582.223366
86	2570.6189
87	2563.588443
88	2556.514985
89	2553.362564
90	2543.586454
91	2533.004086
92	2528.0611
93	2520.655971
94	2516.994196
95	2506.186208
96	2502.255484
97	2498.92015
98	2493.745443
99	2490.801297
100	2483.733639
101	2481.187304
102	2477.193353
103	2473.9848
104	2468.280721
105	2460.338704
106	2453.996191
107	2444.14636
108	2439.674747
109	2437.931562
110	2428.98406
111	2423.511629
112	2419.543571
113	2411.184678
114	2407.247472
115	2399.221565
116	2391.976353
117	2385.704743
118	2381.229405
119	2376.853452
120	2374.997922
121	2366.639787
122	2360.063599
123	2357.319149
124	2355.371378
125	2354.162398
126	2351.35304
127	2349.048484
128	2347.326459
129	2343.944825
130	2336.686936
131	2330.128099
132	2328.387994
133	2320.701501
134	2314.138145
135	2311.91309
136	2311.578618
137	2306.981814
138	2302.716528
139	2297.432371
140	2291.37281
141	2290.455012
142	2288.952776
143	2286.928263
144	2281.186824
145	2279.866919
146	2278.878341
147	2277.002459
148	2276.089908
149	2273.773312
150	2268.447123
151	2267.569469
152	2266.536597
153	2260.830626
154	2254.759958
155	2252.659876
156	2251.380462
157	2248.704035
158	2246.961484
159	2245.773801
160	2241.957427
161	2240.66807
162	2239.848021
163	2237.309394
164	2235.272659
165	2234.393916
166	2232.031841
167	2227.320924
168	2226.539908
169	2218.32326
170	2216.981504
171	2215.512263
172	2214.727956
173	2208.65159
174	2204.743227
175	2202.986398
176	2200.642705
177	2198.182116
178	2197.366067
179	2196.479703
180	2192.355112
181	2191.472501
182	2190.542296
183	2187.495983
184	2186.68622
185	2179.055621
186	2173.963495
187	2170.700276
188	2164.636931
189	2160.781515
190	2160.088998
191	2159.339333
192	2158.332713
193	2157.221171
194	2156.339433
195	2155.718075
196	2155.038214
197	2154.230308
198	2152.992018
199	2148.463121
200	2147.687708
201	2147.240192
202	2144.078666
203	2141.348256
204	2137.430584
205	2136.96406
206	2136.214495
207	2135.371376
208	2133.056107
209	2131.396233
210	2130.932386
211	2126.366029
212	2123.311242
213	2122.84656
214	2119.272437
215	2117.181445
216	2116.69193
217	2116.316469
218	2112.603065
219	2109.544066
220	2108.45034
221	2105.650044
222	2101.638676
223	2096.780199
224	2094.113067
225	2092.952598
226	2088.919703
227	2085.224079
228	2083.657964
229	2083.158292
230	2082.821042
231	2082.425613
232	2080.54456
233	2079.898831
234	2079.118273
235	2073.222518
236	2071.854105
237	2071.029661
238	2069.111416
239	2065.302859
240	2062.938352
241	2059.383146
242	2058.634396
243	2057.357225
244	2056.544456
245	2056.45078
246	2054.181001
247	2052.219347
248	2049.553576
249	2047.816255
250	2047.009807
251	2046.47486
252	2045.721569
253	2043.360081
254	2042.607801
255	2038.406426
256	2037.3991
257	2035.220093
258	2032.377584
259	2030.252161
260	2027.048824
261	2023.230881
262	2020.192649
263	2018.921589
264	2018.195638
265	2017.723472
266	2015.114525
267	2009.469307
268	2004.360312
269	2002.298302
270	2001.621552
271	1996.828989
272	1994.182347
273	1991.118876
274	1986.868179
275	1985.68861
276	1983.004632
277	1982.333975
278	1981.696433
279	1980.873744
280	1980.780267
281	1979.28199
282	1975.431423
283	1972.962152
284	1969.813263
285	1967.619583
286	1965.047782
287	1964.962504
288	1964.398528
289	1963.423793
290	1962.829191
291	1958.601534
292	1958.143779
293	1957.989405
294	1955.626175
295	1953.799179
296	1950.050023
297	1947.440789
298	1946.135016
299	1943.440433
300	1943.002984
301	1940.854115
302	1937.814413
303	1935.052024
304	1931.195586
305	1929.811256
306	1927.726221
307	1924.526236
308	1924.102203
309	1922.51867
310	1921.563621
311	1919.007262
312	1917.001753
313	1915.758045
314	1915.423673
315	1914.328788
316	1912.624659
317	1909.89445
318	1909.34454
319	1908.566705
320	1908.009434
321	1905.303225
322	1904.636799
323	1900.175774
324	1899.724307
325	1899.323013
326	1898.24483
327	1897.167952
328	1893.434485
329	1892.724504
330	1890.417666
331	1889.274255
332	1888.638253
333	1885.310577
334	1884.320684
335	1883.803151
336	1880.164796
337	1878.374161
338	1876.256545
339	1874.569352
340	1872.774478
341	1871.819221
342	1871.572702
343	1870.202698
344	1868.730908
345	1868.434221
346	1867.481226
347	1865.54292
348	1862.177974
349	1861.620906
350	1859.621648
351	1856.678711
352	1854.652422
353	1853.333028
354	1852.751339
355	1850.866919
356	1847.429508
357	1847.21375
358	1846.720304
359	1846.007417
360	1845.537235
361	1843.652362
362	1841.427542
363	1839.47078
364	1839.023973
365	1837.714462
366	1837.354587
367	1836.778304
368	1835.72
369	1835.180501
370	1834.448505
371	1832.550711
372	1829.829197
373	1828.338625
374	1825.770015
375	1825.189558
376	1824.979408
377	1824.902098
378	1823.697506
379	1822.255999
380	1820.865315
381	1819.813721
382	1816.707029
383	1814.957298
384	1812.901299
385	1810.528373
386	1810.124566
387	1808.166091
388	1807.750919
389	1807.302824
390	1806.449113
391	1804.434927
392	1803.513568
393	1802.242239
394	1800.537488
395	1800.441432
396	1799.951611
397	1798.015488
398	1797.838724
399	1795.604432
400	1793.816604
401	1792.52328
402	1791.407794
403	1790.07493
404	1787.444413
405	1787.20886
406	1787.007324
407	1786.614518
408	1784.869441
409	1783.94291
410	1782.250775
411	1780.954509
412	1779.459735
413	1778.245215
414	1777.26327
415	1777.069415
416	1776.24716
417	1772.375537
418	1770.90959
419	1770.679095
420	1769.219025
421	1767.625135
422	1765.811483
423	1764.01878
424	1762.912231
425	1761.245081
426	1759.592705
427	1757.966781
428	1757.868101
429	1757.427636
430	1757.276421
431	1756.786098
432	1754.441625
433	1751.096779
434	1749.761293
435	1746.661385
436	1745.618768
437	1744.998745
438	1743.963203
439	1743.361166
440	1743.203643
441	1741.94419
442	1738.858434
443	1738.496324
444	1736.835144
445	1735.533151
446	1735.088622
447	1734.140009
448	1732.672708
449	1731.002201
450	1729.150746
451	1728.573134
452	1728.05177
453	1727.110872
454	1725.501455
455	1724.488987
456	1724.153387
457	1721.466981
458	1720.948047
459	1720.763705
460	1720.581312
461	1720.448829
462	1719.379477
463	1718.366226
464	1717.779312
465	1717.159677
466	1715.660562
467	1713.955482
468	1713.596314
469	1712.226492
470	1711.494622
471	1710.690237
472	1708.893299
473	1706.254426
474	1705.961795
475	1704.584433
476	1703.982843
477	1703.773684
478	1703.285289
479	1702.679284
480	1701.683488
481	1700.747735
482	1700.539179
483	1698.488352
484	1697.082213
485	1695.488707
486	1694.905202
487	1693.79755
488	1692.983866
489	1692.652797
490	1691.755123
491	1690.579376
492	1690.4234
493	1687.939156
494	1687.124547
495	1685.742896
496	1685.586018
497	1684.98043
498	1684.541437
499	1683.624421
