iter	Passed	Remaining
0	14	7407
1	35	8744
2	56	9440
3	75	9400
4	95	9442
5	113	9316
6	131	9237
7	149	9220
8	170	9282
9	178	8733
10	196	8741
11	215	8767
12	236	8869
13	255	8866
14	272	8821
15	291	8825
16	313	8906
17	333	8923
18	351	8904
19	369	8879
20	389	8882
21	408	8886
22	427	8864
23	445	8835
24	462	8789
25	480	8754
26	497	8712
27	515	8685
28	533	8672
29	553	8670
30	571	8648
31	591	8644
32	610	8634
33	628	8612
34	646	8590
35	665	8582
36	686	8589
37	705	8571
38	726	8588
39	745	8569
40	765	8565
41	784	8557
42	803	8543
43	823	8536
44	843	8523
45	861	8502
46	880	8484
47	899	8468
48	917	8443
49	936	8426
50	954	8407
51	974	8396
52	992	8370
53	1011	8354
54	1032	8353
55	1052	8340
56	1072	8332
57	1092	8322
58	1112	8311
59	1128	8278
60	1147	8261
61	1166	8237
62	1183	8211
63	1202	8190
64	1220	8165
65	1238	8144
66	1258	8133
67	1278	8124
68	1300	8121
69	1320	8111
70	1337	8081
71	1356	8066
72	1375	8044
73	1393	8021
74	1412	8004
75	1430	7979
76	1448	7956
77	1467	7938
78	1484	7910
79	1500	7879
80	1519	7860
81	1537	7839
82	1557	7827
83	1576	7805
84	1594	7782
85	1613	7766
86	1631	7745
87	1649	7723
88	1671	7720
89	1693	7716
90	1712	7697
91	1733	7687
92	1755	7681
93	1773	7661
94	1797	7661
95	1815	7639
96	1835	7626
97	1853	7602
98	1871	7581
99	1890	7560
100	1907	7537
101	1926	7518
102	1945	7496
103	1953	7438
104	1972	7418
105	1991	7400
106	2011	7389
107	2029	7367
108	2047	7345
109	2066	7326
110	2084	7305
111	2102	7282
112	2120	7261
113	2137	7237
114	2156	7220
115	2175	7201
116	2194	7183
117	2213	7167
118	2232	7148
119	2253	7134
120	2271	7115
121	2289	7095
122	2307	7073
123	2326	7054
124	2346	7038
125	2364	7017
126	2384	7002
127	2402	6983
128	2420	6962
129	2438	6941
130	2457	6922
131	2476	6903
132	2494	6884
133	2512	6863
134	2532	6846
135	2551	6830
136	2570	6811
137	2589	6792
138	2607	6772
139	2626	6752
140	2644	6734
141	2664	6717
142	2684	6700
143	2702	6681
144	2720	6660
145	2738	6639
146	2757	6621
147	2776	6602
148	2794	6582
149	2812	6561
150	2831	6543
151	2849	6523
152	2867	6504
153	2885	6483
154	2905	6466
155	2924	6449
156	2944	6433
157	2962	6413
158	2983	6398
159	3001	6379
160	3021	6361
161	3040	6343
162	3059	6325
163	3077	6304
164	3095	6284
165	3114	6266
166	3133	6248
167	3152	6229
168	3172	6214
169	3193	6199
170	3211	6179
171	3230	6159
172	3250	6143
173	3270	6126
174	3288	6107
175	3307	6089
176	3326	6070
177	3344	6049
178	3363	6030
179	3382	6013
180	3402	5996
181	3421	5977
182	3439	5958
183	3458	5939
184	3477	5920
185	3496	5902
186	3514	5882
187	3533	5863
188	3552	5845
189	3570	5826
190	3589	5806
191	3607	5787
192	3626	5769
193	3647	5752
194	3665	5733
195	3683	5712
196	3703	5695
197	3721	5676
198	3738	5655
199	3756	5634
200	3775	5615
201	3792	5595
202	3811	5576
203	3832	5561
204	3851	5542
205	3871	5525
206	3890	5506
207	3909	5488
208	3928	5470
209	3948	5452
210	3966	5432
211	3985	5413
212	4005	5396
213	4023	5377
214	4041	5357
215	4059	5337
216	4078	5318
217	4097	5299
218	4115	5280
219	4135	5263
220	4155	5246
221	4174	5227
222	4193	5209
223	4216	5195
224	4234	5175
225	4252	5156
226	4271	5137
227	4291	5119
228	4309	5100
229	4344	5100
230	4366	5084
231	4387	5067
232	4406	5048
233	4424	5029
234	4444	5011
235	4463	4993
236	4482	4974
237	4500	4954
238	4519	4935
239	4537	4916
240	4557	4897
241	4575	4877
242	4594	4859
243	4614	4841
244	4632	4821
245	4650	4801
246	4668	4781
247	4685	4761
248	4703	4741
249	4722	4722
250	4743	4706
251	4763	4687
252	4782	4668
253	4801	4650
254	4820	4631
255	4838	4611
256	4857	4592
257	4875	4572
258	4893	4553
259	4912	4534
260	4931	4515
261	4950	4497
262	4969	4478
263	4988	4459
264	5007	4440
265	5023	4419
266	5042	4400
267	5062	4382
268	5082	4364
269	5100	4344
270	5118	4325
271	5137	4306
272	5159	4289
273	5177	4270
274	5194	4250
275	5213	4231
276	5232	4212
277	5251	4193
278	5268	4173
279	5289	4155
280	5307	4136
281	5325	4116
282	5343	4097
283	5362	4078
284	5381	4059
285	5399	4040
286	5418	4021
287	5438	4003
288	5456	3983
289	5475	3964
290	5493	3945
291	5511	3926
292	5530	3907
293	5550	3889
294	5570	3870
295	5588	3851
296	5606	3832
297	5625	3813
298	5644	3794
299	5663	3775
300	5682	3756
301	5701	3738
302	5723	3721
303	5745	3704
304	5763	3684
305	5783	3666
306	5802	3647
307	5821	3628
308	5841	3610
309	5860	3591
310	5879	3572
311	5897	3553
312	5914	3533
313	5932	3514
314	5950	3494
315	5968	3475
316	5985	3455
317	6005	3437
318	6024	3418
319	6042	3398
320	6061	3380
321	6080	3361
322	6098	3341
323	6117	3323
324	6135	3303
325	6153	3284
326	6172	3265
327	6190	3246
328	6208	3227
329	6226	3207
330	6244	3188
331	6262	3169
332	6281	3149
333	6301	3132
334	6322	3114
335	6340	3094
336	6359	3075
337	6376	3056
338	6394	3036
339	6413	3017
340	6431	2998
341	6452	2980
342	6471	2961
343	6490	2943
344	6509	2924
345	6526	2904
346	6547	2886
347	6565	2867
348	6584	2848
349	6603	2830
350	6621	2810
351	6640	2791
352	6657	2772
353	6676	2753
354	6694	2734
355	6712	2715
356	6730	2696
357	6748	2676
358	6767	2658
359	6785	2638
360	6805	2620
361	6823	2601
362	6841	2581
363	6859	2563
364	6901	2552
365	6921	2534
366	6940	2515
367	6958	2495
368	6977	2477
369	6995	2458
370	7015	2439
371	7033	2420
372	7054	2401
373	7073	2383
374	7092	2364
375	7110	2344
376	7130	2326
377	7149	2307
378	7169	2289
379	7189	2270
380	7208	2251
381	7227	2232
382	7247	2213
383	7265	2194
384	7285	2176
385	7304	2157
386	7324	2138
387	7344	2120
388	7364	2101
389	7383	2082
390	7402	2063
391	7420	2044
392	7443	2026
393	7499	2017
394	7525	2000
395	7545	1981
396	7564	1962
397	7583	1943
398	7602	1924
399	7621	1905
400	7639	1886
401	7659	1867
402	7678	1848
403	7699	1829
404	7720	1811
405	7743	1792
406	7767	1774
407	7790	1756
408	7809	1737
409	7828	1718
410	7850	1699
411	7870	1681
412	7889	1661
413	7908	1642
414	7925	1623
415	7943	1603
416	7961	1584
417	7980	1565
418	8002	1547
419	8021	1527
420	8040	1508
421	8059	1489
422	8078	1470
423	8096	1451
424	8116	1432
425	8134	1412
426	8152	1393
427	8171	1374
428	8189	1355
429	8209	1336
430	8227	1317
431	8247	1298
432	8266	1279
433	8286	1260
434	8305	1241
435	8324	1221
436	8342	1202
437	8361	1183
438	8380	1164
439	8398	1145
440	8417	1126
441	8435	1106
442	8455	1087
443	8474	1068
444	8493	1049
445	8532	1033
446	8551	1013
447	8570	994
448	8591	975
449	8609	956
450	8627	937
451	8647	918
452	8665	899
453	8685	880
454	8704	860
455	8722	841
456	8740	822
457	8758	803
458	8778	784
459	8797	765
460	8816	745
461	8834	726
462	8852	707
463	8871	688
464	8891	669
465	8910	650
466	8929	631
467	8947	611
468	8965	592
469	8983	573
470	9001	554
471	9021	535
472	9039	516
473	9059	496
474	9079	477
475	9097	458
476	9117	439
477	9137	420
478	9158	401
479	9177	382
480	9198	363
481	9218	344
482	9236	325
483	9256	306
484	9276	286
485	9294	267
486	9314	248
487	9331	229
488	9349	210
489	9370	191
490	9389	172
491	9409	153
492	9428	133
493	9446	114
494	9465	95
495	9484	76
496	9503	57
497	9521	38
498	9540	19
499	9557	0
