Brand,Model,Case Material,Strap Material,Crystal Material,Dial Color,Case Diameter,Case Thickness,Band Width,Case_Size_Category,Case_Proportion,Movement Type,Movement_Complexity,Power Reserve,Complications,Has_Complication,Water Resistance,Water_Tier,Dial_Score,Complication_Score,Material_Match,Luxury_Index,Brand_Tier,Model_Tier,Brand_Tier_label_encoded,Model_Tier_label_encoded,Brand_Tier_target_encoded,Model_Tier_target_encoded,Brand_Case,Brand_Crystal,Material_Crystal_Movement,Price
Rolex,Submariner,Stainless Steel,Stainless Steel,Sapphire,Black,40.0,13.0,20.0,1,3.0769207100609925,Automatic,1,48.0,['Date'],1,225,Professional,3,1,1,10,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,3,9500.0
Omega,Seamaster,Titanium,Rubber,Sapphire,Blue,43.5,14.47,21.0,2,3.006217687479138,Automatic,1,60.0,['Date'],1,225,Professional,5,1,0,13,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,5800.0
Tag Heuer,Carrera,Stainless Steel,Leather,Sapphire,White,41.0,13.0,20.0,2,3.153843727812517,Automatic,1,42.0,['Chronograph'],1,100,Standard,4,3,0,14,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.153843727812517,1,2,4200.0
Breitling,Navitimer,Stainless Steel,Stainless Steel,Sapphire,Black,43.0,14.25,22.0,2,3.0175417420759705,Automatic,1,70.0,['Chronograph'],1,30,Basic,3,3,1,12,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.0175417420759705,1,3,7900.0
Cartier,Tank Solo,Stainless Steel,Leather,Sapphire,Silver,37.0,6.05,20.0,1,6.115692370756412,Quartz,0,55.0,['None'],0,30,Basic,3,0,0,11,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,6.115692370756412,1,1,2800.0
Jaeger-LeCoultre,Reverso,Stainless Steel,Leather,Sapphire,Black,42.9,9.2,20.0,2,4.663038409740859,Manual,1,45.0,['None'],0,30,Basic,3,0,0,11,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,5500.0
Seiko,Prospex,Stainless Steel,Rubber,Sapphire,Black,44.3,12.9,20.0,2,3.434105865034213,Automatic,1,50.0,['Date'],1,200,Professional,3,1,0,11,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,3.434105865034213,1,2,1400.0
Citizen,Promaster,Stainless Steel,Stainless Steel,Non-Sapphire,Black,42.0,13.0,22.0,2,3.230766745564042,Eco-Drive,0,102.5,['Chronograph'],1,200,Professional,3,3,1,9,Other,Other,2,2,6734.697638357517,5907.872360090675,6.461533491128084,0,1,1200.0
Tissot,Le Locle,Stainless Steel,Leather,Sapphire,White,39.3,9.75,19.0,1,4.030765096651183,Automatic,1,38.0,['Date'],1,30,Basic,4,1,0,12,Other,Other,2,2,6734.697638357517,5907.872360090675,8.061530193302366,2,2,650.0
Hamilton,Khaki Field,Stainless Steel,Leather,Sapphire,Black,38.0,9.8,20.0,1,3.877547063727486,Automatic,1,80.0,['None'],0,100,Standard,3,0,0,11,Other,Mid-Range,2,1,6734.697638357517,7596.0792482079405,7.755094127454972,2,2,495.0
Longines,Master Collection,Stainless Steel,Leather,Sapphire,Silver,38.5,9.7,20.0,1,3.9690680731256984,Automatic,1,64.0,['Date'],1,30,Basic,3,1,0,12,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,3.9690680731256984,1,2,1150.0
Oris,Big Crown ProPilot,Stainless Steel,Fabric,Sapphire,Black,41.0,12.0,20.0,2,3.4166638194468173,Automatic,1,38.0,"['Date', 'GMT']",1,100,Standard,3,3,0,12,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,3.4166638194468173,1,2,1800.0
