Url,Brand,Model,Limited,CaseMaterialGrouped,Glass,Case Shape,CaseDiameterGrouped,WaterResistanceLevel,DialColorGrouped,DialHandsGrouped,Dial Indexes,LogPrice
https://watchbase.com/panerai/pocket-watches/pam00529,panerai,Pocket Watches,Yes,Gold Variants,Sapphire,Cushion,XXL,Basic,Black,Stick/Minimalist,Mixed,11.05881093278828
https://watchbase.com/patek-philippe/cubitus/5821-1ar-001,patek philippe,Cubitus,No,Steel,Sapphire,Square,XL,Basic,Blue,Stick/Minimalist,Stick / Dot,11.039411682337978
https://watchbase.com/patek-philippe/cubitus/5822p-001,patek philippe,Cubitus,No,Platinum,Sapphire,Square,XL,Basic,Blue,Stick/Minimalist,Stick / Dot,11.405685406299774
https://watchbase.com/patek-philippe/cubitus/5821-1a-001,patek philippe,Cubitus,No,Steel,Sapphire,Square,XL,Basic,Colorful,Stick/Minimalist,Stick / Dot,10.64354217367223
https://watchbase.com/panerai/pocket-watches/pam00447,panerai,Pocket Watches,Yes,Gold Variants,Sapphire,Cushion,XXL,Basic,Grey/Brown,Stick/Minimalist,Mixed,11.000448478455008
https://watchbase.com/panerai/pocket-watches/pam00446,panerai,Pocket Watches,Yes,Synthetic,Sapphire,Cushion,XXL,Basic,Skeleton,Stick/Minimalist,Mixed,12.095146671399466
https://watchbase.com/patek-philippe/gondolo/4972-1g-001,patek philippe,Gondolo,No,Gold Variants,Sapphire,Other,XS,Basic,Silver/White,Leaf-style,Arabic Numerals,10.770188800870221
https://watchbase.com/patek-philippe/gondolo/4962-200r-001,patek philippe,Gondolo,No,Gold Variants,Sapphire,Other,XS,Basic,Grey/Brown,Leaf-style,Mixed,10.610069086697326
https://watchbase.com/patek-philippe/gondolo/4972g-001,patek philippe,Gondolo,No,Gold Variants,Sapphire,Other,XS,Basic,Silver/White,Leaf-style,Arabic Numerals,10.324202455851168
https://watchbase.com/patek-philippe/gondolo/7099r-001,patek philippe,Gondolo,No,Gold Variants,Sapphire,Tonneau,XS,Basic,Silver/White,Leaf-style,Stick / Dot,11.528808656597766
