Url,Brand,Family,Reference,Name,Movement,Produced,Limited,Case_Material,Glass,Case_Back,Case_Shape,Case_Diameter,Lug_Width,Water_Resistance,Dial_Color,Dial_Finish,Dial_Indexes,Dial_Hands,Price
https://watchbase.com/panerai/pocket-watches/pam00529,Panerai,Pocket Watches,PAM00529,Pocket Watch 3 Days Oro Bianco,Panerai caliber P.3000/10,2014 - 2014,"Yes, 50 units",White Gold,Sapphire,Hunter,Cushion,50.00 mm,,50.00 m,Black,,Mixed,Stick,63500
https://watchbase.com/patek-philippe/cubitus/5821-1ar-001,Patek Philippe,Cubitus,5821/1AR-001,Cubitus Date 45 Stainless Steel - Rose Gold / Blue,Patek Philippe caliber 26‑330 S C,2024,No,,Sapphire,Open,Square,45.00 mm,,30.00 m,Blue,Sunburst,Stick / Dot,Stick,62280
https://watchbase.com/patek-philippe/cubitus/5822p-001,Patek Philippe,Cubitus,5822P-001,Cubitus Instantaneous Grand Date Platinum / Blue,Patek Philippe caliber 240 PS CI J LU,2024,No,Platinum,Sapphire,Open,Square,45.00 mm,,30.00 m,Blue,Sunburst,Stick / Dot,Stick,89830
https://watchbase.com/patek-philippe/cubitus/5821-1a-001,Patek Philippe,Cubitus,5821/1A-001,Cubitus Date 45 Stainless Steel / Green,Patek Philippe caliber 26‑330 S C,2024,No,Stainless Steel,Sapphire,Open,Square,45.00 mm,,30.00 m,Green,Sunburst,Stick / Dot,Stick,41920
https://watchbase.com/patek-philippe/cubitus/7128-1r-001,Patek Philippe,Cubitus,7128/1R-001,Cubitus Date 40 Rose Gold / Brown,Patek Philippe caliber 26‑330 S C/434,2024,No,Rose Gold,Sapphire,Open,Square,40.00 mm,,30.00 m,Brown,Sunburst,Stick / Dot,Stick,N/A
https://watchbase.com/patek-philippe/cubitus/7128-1g-001,Patek Philippe,Cubitus,7128/1G-001,Cubitus Date 40 White Gold / Blue,Patek Philippe caliber 26‑330 S C/434,2024,No,White Gold,Sapphire,Open,Square,40.00 mm,,30.00 m,Blue,Sunburst,Stick / Dot,Stick,N/A
https://watchbase.com/panerai/pocket-watches/pam00447,Panerai,Pocket Watches,PAM00447,Pocket Watch 3 Days Oro Rosso,Panerai caliber P.3000/10,2014 - 2014,"Yes, 50 units",Red Gold,Sapphire,Hunter,Cushion,50.00 mm,,50.00 m,Brown,,Mixed,Stick,59900
https://watchbase.com/panerai/pocket-watches/pam00446,Panerai,Pocket Watches,PAM00446,Pocket Watch Tourbillon GMT Ceramica,Panerai caliber P.2005/S,2013 - 2013,"Yes, 50 units",Ceramic,Sapphire,Open,Cushion,59.00 mm,,30.00 m,Skeleton,,Mixed,Stick,179000
https://watchbase.com/panerai/pocket-watches/pam00173,Panerai,Pocket Watches,PAM00173,Travel Alarm Clock,Panerai caliber OP XVII,2006,No,Stainless Steel,Sapphire,Closed,Cushion,52.00 mm,,30.00 m,Black,,Mixed,Stick,N/A
https://watchbase.com/patek-philippe/golden-ellipse/5738-50g-001,Patek Philippe,Golden Ellipse,5738/50G-001,Golden Ellipse 5738 White Gold / Japanese Prints,Patek Philippe caliber 240,2019,No,White Gold,Sapphire,Closed,Rectangular,34.50 mm,,30.00 m,Multi-Color,,None,Stick,N/A
