Url,Brand,Model,Movement,Limited,Case Material,Glass,Case Back,Case Shape,Case Diameter,Water Resistance,Dial Color,Dial Indexes,Dial Hands,Price
https://watchbase.com/panerai/pocket-watches/pam00529,Panerai,Pocket Watches,Panerai caliber P.3000/10,Yes,White Gold,Sapphire,Hunter,Cushion,50.0,50.0,Black,Mixed,Stick,63500.0
https://watchbase.com/patek-philippe/cubitus/5821-1ar-001,Patek Philippe,Cubitus,Patek Philippe caliber 26‑330 S C,No,Stainless Steel,Sapphire,Open,Square,45.0,30.0,Blue,Stick / Dot,Stick,62280.0
https://watchbase.com/patek-philippe/cubitus/5822p-001,Patek Philippe,Cubitus,Patek Philippe caliber 240 PS CI J LU,No,Platinum,Sapphire,Open,Square,45.0,30.0,Blue,Stick / Dot,Stick,89830.0
https://watchbase.com/patek-philippe/cubitus/5821-1a-001,Patek Philippe,Cubitus,Patek Philippe caliber 26‑330 S C,No,Stainless Steel,Sapphire,Open,Square,45.0,30.0,Green,Stick / Dot,Stick,41920.0
https://watchbase.com/patek-philippe/cubitus/7128-1r-001,Patek Philippe,Cubitus,Patek Philippe caliber 26‑330 S C/434,No,Rose Gold,Sapphire,Open,Square,40.0,30.0,Brown,Stick / Dot,Stick,
https://watchbase.com/patek-philippe/cubitus/7128-1g-001,Patek Philippe,Cubitus,Patek Philippe caliber 26‑330 S C/434,No,White Gold,Sapphire,Open,Square,40.0,30.0,Blue,Stick / Dot,Stick,
https://watchbase.com/panerai/pocket-watches/pam00447,Panerai,Pocket Watches,Panerai caliber P.3000/10,Yes,Red Gold,Sapphire,Hunter,Cushion,50.0,50.0,Brown,Mixed,Stick,59900.0
https://watchbase.com/panerai/pocket-watches/pam00446,Panerai,Pocket Watches,Panerai caliber P.2005/S,Yes,Ceramic,Sapphire,Open,Cushion,59.0,30.0,Skeleton,Mixed,Stick,179000.0
https://watchbase.com/panerai/pocket-watches/pam00173,Panerai,Pocket Watches,Panerai caliber OP XVII,No,Stainless Steel,Sapphire,Closed,Cushion,52.0,30.0,Black,Mixed,Stick,
https://watchbase.com/patek-philippe/golden-ellipse/5738-50g-001,Patek Philippe,Golden Ellipse,Patek Philippe caliber 240,No,White Gold,Sapphire,Closed,Rectangular,34.5,30.0,Multi-Color,Stick / Dot,Stick,
https://watchbase.com/patek-philippe/gondolo/4972-1g-001,Patek Philippe,Gondolo,Patek Philippe caliber E15,No,White Gold,Sapphire,Closed,Other,27.4,30.0,White,Arabic Numerals,Feuille,47580.0
https://watchbase.com/patek-philippe/gondolo/4962-200r-001,Patek Philippe,Gondolo,Patek Philippe caliber E15,No,Rose Gold,Sapphire,Closed,Other,28.6,30.0,Brown,Mixed,Feuille,40540.0
https://watchbase.com/patek-philippe/gondolo/5111j-001,Patek Philippe,Gondolo,Patek Philippe caliber 215 PS,No,Yellow Gold,Sapphire,Closed,Rectangular,30.0,30.0,Silver,Arabic Numerals,Poire,
https://watchbase.com/patek-philippe/gondolo/5109j-001,Patek Philippe,Gondolo,Patek Philippe caliber 215 PS,No,Yellow Gold,Sapphire,Closed,Rectangular,30.0,30.0,White,Arabic Numerals,Poire,
https://watchbase.com/patek-philippe/gondolo/4972g-001,Patek Philippe,Gondolo,Patek Philippe caliber E15,No,White Gold,Sapphire,Closed,Other,27.4,30.0,White,Arabic Numerals,Feuille,30460.0
https://watchbase.com/patek-philippe/gondolo/7099g-001,Patek Philippe,Gondolo,Patek Philippe caliber 25-21 REC,No,White Gold,Sapphire,Open,Tonneau,29.6,30.0,Silver,Stick / Dot,Feuille,
https://watchbase.com/patek-philippe/gondolo/7099r-001,Patek Philippe,Gondolo,Patek Philippe caliber 25-21 REC,No,Rose Gold,Sapphire,Open,Tonneau,29.6,30.0,Silver,Stick / Dot,Feuille,101600.0
https://watchbase.com/patek-philippe/gondolo/7042-100r-010,Patek Philippe,Gondolo,Patek Philippe caliber 215,No,Rose Gold,Sapphire,Closed,Cushion,31.0,30.0,Paved,Gem-Set Indexes,Feuille,
