Brand,Model,Case Material,Strap Material,Movement Type,Water Resistance,Case Diameter,Case Thickness,Band Width,Dial Color,Crystal Material,Complications,Power Reserve,Price,Complication_Score,Luxury_Index,Movement_Complexity,Case_Proportion,Dial_Score,Material_Match,Has_Power_Reserve,Case_Size_Category,Has_Complication,Brand_Tier_encoded,Water_Tier_encoded,Brand_Tier_Mid-Range,Brand_Tier_Other,Brand_Tier_Very High-End,Water_Tier_Professional,Water_Tier_Standard,Brand_Case,Material_Luxury,HighEnd_Dial,Power_Material
Rolex,Submariner,Stainless Steel,Stainless Steel,Automatic,225,40.0,13.0,20.0,Black,Sapphire,['Date'],48.0,9500.0,1,10,1,3.0769207100609925,3,1,1,1,1,0,1,False,False,False,True,False,0.0,10,0,1
Omega,Seamaster,Titanium,Rubber,Automatic,225,43.5,14.47,21.0,Blue,Sapphire,['Date'],60.0,5800.0,1,13,1,3.006217687479138,5,0,1,2,1,0,1,False,False,False,True,False,0.0,0,0,0
Tag Heuer,Carrera,Stainless Steel,Leather,Automatic,100,41.0,13.0,20.0,White,Sapphire,['Chronograph'],42.0,4200.0,3,14,1,3.153843727812517,4,0,1,2,1,1,2,True,False,False,False,True,3.153843727812517,0,0,0
Breitling,Navitimer,Stainless Steel,Stainless Steel,Automatic,30,43.0,14.25,22.0,Black,Sapphire,['Chronograph'],70.0,7900.0,3,12,1,3.0175417420759705,3,1,1,2,1,1,0,True,False,False,False,False,3.0175417420759705,12,0,1
Cartier,Tank Solo,Stainless Steel,Leather,Quartz,30,37.0,6.05,20.0,Silver,Sapphire,['None'],55.0,2800.0,0,11,0,6.115692370756412,3,0,1,1,0,1,0,True,False,False,False,False,6.115692370756412,0,0,0
Jaeger-LeCoultre,Reverso,Stainless Steel,Leather,Manual,30,42.9,9.2,20.0,Black,Sapphire,['None'],45.0,5500.0,0,11,1,4.663038409740859,3,0,1,2,0,0,0,False,False,False,False,False,0.0,0,0,0
Seiko,Prospex,Stainless Steel,Rubber,Automatic,200,44.3,12.9,20.0,Black,Sapphire,['Date'],50.0,1400.0,1,11,1,3.434105865034213,3,0,1,2,1,1,1,True,False,False,True,False,3.434105865034213,0,0,0
Citizen,Promaster,Stainless Steel,Stainless Steel,Eco-Drive,200,42.0,13.0,22.0,Black,Non-Sapphire,['Chronograph'],102.5,1200.0,3,9,0,3.230766745564042,3,1,1,2,1,2,1,False,True,False,True,False,6.461533491128084,9,0,1
Tissot,Le Locle,Stainless Steel,Leather,Automatic,30,39.3,9.75,19.0,White,Sapphire,['Date'],38.0,650.0,1,12,1,4.030765096651183,4,0,1,1,1,2,0,False,True,False,False,False,8.061530193302366,0,0,0
Hamilton,Khaki Field,Stainless Steel,Leather,Automatic,100,38.0,9.8,20.0,Black,Sapphire,['None'],80.0,495.0,0,11,1,3.877547063727486,3,0,1,1,0,2,2,False,True,False,False,True,7.755094127454972,0,0,0
